country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","10-10-2025 22:00:00",22.118125,83.140608,CO,10,26,21
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB","10-10-2025 22:00:00",21.237755,81.705301,CO,14,22,18
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","10-10-2025 22:00:00",21.371751,81.664929,NH3,NA,NA,NA
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","10-10-2025 22:00:00",22.06631475,83.33820077,PM2.5,22,48,34
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","10-10-2025 22:00:00",21.194815,81.314770,NO2,12,57,26
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","10-10-2025 22:00:00",21.194815,81.314770,OZONE,2,41,24
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","10-10-2025 22:00:00",21.185571,81.343175,PM10,36,115,68
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","10-10-2025 22:00:00",21.219665,81.630094,PM2.5,9,23,14
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","10-10-2025 22:00:00",21.219665,81.630094,PM10,12,75,32
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","10-10-2025 22:00:00",21.219665,81.630094,NH3,2,2,2
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","10-10-2025 22:00:00",22.348441,82.549611,CO,16,24,19
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","10-10-2025 22:00:00",22.126650,83.483212,NH3,NA,NA,NA
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","10-10-2025 22:00:00",30.719859,76.738637,PM2.5,NA,NA,NA
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","10-10-2025 22:00:00",30.719859,76.738637,PM10,NA,NA,NA
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","10-10-2025 22:00:00",30.719859,76.738637,NO2,NA,NA,NA
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","10-10-2025 22:00:00",30.719859,76.738637,NH3,NA,NA,NA
India,Chhattisgarh,Korba,"Rampur, Korba - CECB","10-10-2025 22:00:00",22.368195,82.746431,CO,14,35,16
India,Chhattisgarh,Korba,"Rampur, Korba - CECB","10-10-2025 22:00:00",22.368195,82.746431,OZONE,2,4,2
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","10-10-2025 22:00:00",21.219665,81.630094,OZONE,2,12,6
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","10-10-2025 22:00:00",30.751462,76.762879,NH3,4,7,6
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","10-10-2025 22:00:00",28.580280,77.233829,PM10,140,226,172
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","10-10-2025 22:00:00",28.580280,77.233829,NO2,29,128,65
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","10-10-2025 22:00:00",28.580280,77.233829,NH3,4,6,5
India,Delhi,Delhi,"Lodhi Road, Delhi - IITM","10-10-2025 22:00:00",28.588333,77.221667,NO2,NA,NA,NA
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD","10-10-2025 22:00:00",28.5918245,77.2273074,PM10,109,181,151
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD","10-10-2025 22:00:00",28.5918245,77.2273074,NO2,2,51,24
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","10-10-2025 22:00:00",28.611281,77.237738,PM2.5,88,173,120
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","10-10-2025 22:00:00",28.5710274,77.0719006,OZONE,4,153,84
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD","10-10-2025 22:00:00",28.5627763,77.1180053,PM2.5,68,175,104
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","10-10-2025 22:00:00",28.6811736,77.3025234,PM2.5,192,283,246
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","10-10-2025 22:00:00",28.6811736,77.3025234,NO2,66,78,72
